Student Names,Number of correct answers,"Using a scale 1 to 10, how much do you like action movies?","Using a scale 1 to 10, how much do you like adventure movies?","Using a scale 1 to 10, how much do you like comedy movies?","Using a scale 1 to 10, how much do you like crime movies?","Using a scale 1 to 10, how much do you like drama movies?","Using a scale 1 to 10, how much do you like fantasy movies?","Using a scale 1 to 10, how much do you like science fiction movies?","Using a scale 1 to 10, how much do you like horror movies?","Using a scale 1 to 10, how much do you like mystery movies?","Using a scale 1 to 10, how much do you like romance movies?","Using a scale 1 to 10, how much do you like thriller movies?","Using a scale 1 to 10, how much do you like documentary movies?","Using a scale 1 to 10, how much do you like animated movies?","On average, how many movies you watch on a single week",Which of the following movies you'd say is your preferred?
Professor,0,10,2,5,6,7,1,3,1,3,3,9,4,5,,
Class Scoring,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
